,state,newspaper,link
0,CA,www.latimes.com,http://www.latimes.com/opinion/op-ed/la-oe-angell-marijuana-democrats-20180712-story.html
1,CA,www.latimes.com,http://www.latimes.com/local/lanow/la-me-ln-marijuana-status-20180423-story.html
2,CA,www.latimes.com,http://www.latimes.com/opinion/readersreact/la-ol-le-marijuana-research-20180717-story.html
3,CA,www.latimes.com,http://www.latimes.com/opinion/op-ed/la-oe-damico-marijuana-ad-restrictions-20180618-story.html
4,CA,www.latimes.com,http://www.latimes.com/style/la-lb-667-43289-la-me-ln-marijuana-status-20180423-htmlstory.html
5,CA,www.latimes.com,http://www.latimes.com/politics/la-na-pol-trump-marijuana-20180608-story.html
6,CA,www.latimes.com,http://www.latimes.com/politics/essential/la-pol-ca-essential-politics-updates-state-health-department-launches-1506535501-htmlstory.html
7,CA,www.latimes.com,http://www.latimes.com/politics/la-na-pol-marijuana-trump-20180413-story.html
8,CA,www.latimes.com,http://www.latimes.com/business/la-fi-cannabis-real-estate-20180331-story.html
9,CA,www.latimes.com,http://www.latimes.com/local/lanow/la-me-california-marijuana-sales-20180101-story.html
10,CA,www.sfchronicle.com,https://www.sfchronicle.com/pot-legalization/
11,CA,www.sfchronicle.com,https://www.sfchronicle.com/news/article/Federal-cannabis-bill-would-help-California-12979852.php
12,CA,www.sfchronicle.com,https://www.sfchronicle.com/news/article/Cheap-cannabis-products-available-before-new-13032125.php
13,CA,www.sfchronicle.com,https://www.sfchronicle.com/news/article/Legalized-marijuana-will-be-a-bit-different-from-12452940.php
14,CA,www.sfchronicle.com,https://www.sfchronicle.com/news/article/Oakland-s-marijuana-equity-program-is-hurting-13077077.php
15,CA,www.sfchronicle.com,https://www.sfchronicle.com/bayarea/article/California-marijuana-purveyors-go-mainstream-12532315.php
16,CA,www.sfchronicle.com,https://www.sfchronicle.com/opinion/article/State-of-potheads-how-is-marijuana-now-11957164.php
17,CA,www.ocregister.com,http://www.ocregister.com/marijuana-shops-will-have-glut-of-cheap-weed-followed-by-a-possible-shortage
18,CA,www.ocregister.com,http://www.ocregister.com/state-gives-marijuana-businesses-more-time-for-compliance
19,CA,www.ocregister.com,https://www.ocregister.com/tag/marijuana/
20,CA,www.ocregister.com,https://www.ocregister.com/2018/05/23/marijuana-landlord-turns-activist-arguing-local-policies-are-slowing-legal-weed/
21,CA,www.ocregister.com,https://www.ocregister.com/2018/04/09/database-of-marijuana-rules-from-every-city-and-county-in-california-shows-slow-acceptance-of-prop-64/
22,CA,www.ocregister.com,https://www.ocregister.com/2018/07/13/israeli-marijuana-researchers-to-open-first-u-s-clinic-in-laguna-woods/
23,CA,www.ocregister.com,https://www.ocregister.com/2018/07/05/marijuana-festivals-and-businesses-that-benefit-from-them-are-hurting-now-that-cannabis-is-legal-in-california/
24,CA,www.ocregister.com,https://www.ocregister.com/2018/01/03/what-are-the-marijuana-laws-in-your-california-city-explore-our-database-of-local-cannabis-policies-2/
